baseline_risk,eligible,endpoint_risk,event,false_alarm,family,flow_residual,forward,hybrid25_alarm,max_closure_error,recovery,risk,schedule_id,seed,timely
0.22,True,0.36,,False,6,"[-1.0408340855860843e-17,1.0408340855860843e-17,0.0,2.7755575615628914e-17,-2.0816681711721685e-17,0.0,1.734723475976807e-17,0.0,-3.8163916471489756e-17,0.0,0.0,0.0]","[2,1,1,3,2,0,1,0,1,0,0,0]",,3.8163916471489756e-17,"[1,2,1,0,0,0,0,0,0,0,0,0]","[0.22,0.24,0.22,0.22,0.28,0.32,0.32,0.34,0.34,0.36,0.36,0.36,0.36]",223,127,False
0.32,True,0.34,,False,11,"[0.0,0.0,-1.734723475976807e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.469446951953614e-17]","[0,0,0,0,0,0,0,0,0,0,0,2]",,3.469446951953614e-17,"[0,0,1,0,0,0,0,0,0,0,0,0]","[0.32,0.32,0.32,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.34]",223,127,False
0.32,True,0.36,,False,12,"[0.0,0.0,0.0,0.0,-1.734723475976807e-17,0.0,0.0,1.734723475976807e-17,0.0,0.0,1.734723475976807e-17,-3.8163916471489756e-17]","[0,0,1,0,0,0,0,1,0,0,1,1]",,3.8163916471489756e-17,"[0,0,1,0,1,0,0,0,0,0,0,0]","[0.32,0.32,0.32,0.32,0.32,0.3,0.3,0.3,0.32,0.32,0.32,0.34,0.36]",223,127,False
0.32,True,0.56,7,False,13,"[1.734723475976807e-17,-3.8163916471489756e-17,1.734723475976807e-17,1.734723475976807e-17,0.0,-3.8163916471489756e-17,3.469446951953614e-17,3.469446951953614e-17,-9.367506770274758e-17,9.367506770274758e-17,-9.367506770274758e-17,9.367506770274758e-17]","[1,2,1,1,3,1,2,2,1,0,1,1]",6,9.367506770274758e-17,"[0,1,0,0,0,0,0,0,0,1,0,2]","[0.32,0.34,0.36,0.38,0.4,0.46,0.48,0.52,0.56,0.58,0.56,0.58,0.56]",223,127,True
0.32,True,0.88,2,False,14,"[0.0,5.551115123125783e-17,-1.1102230246251565e-16,6.938893903907228e-17,1.734723475976807e-17,-9.367506770274758e-17,1.734723475976807e-17,-1.734723475976807e-17,0.0,0.0,3.469446951953614e-17,1.734723475976807e-17]","[6,7,7,4,1,1,1,0,1,1,2,3]",1,1.1102230246251565e-16,"[0,1,0,0,0,0,0,1,1,1,0,2]","[0.32,0.44,0.56,0.7,0.78,0.8,0.82,0.84,0.82,0.82,0.82,0.86,0.88]",223,127,True
0.32,True,0.42,,False,15,"[0.0,-2.0816681711721685e-17,0.0,1.734723475976807e-17,0.0,0.0,1.734723475976807e-17,-1.734723475976807e-17,0.0,-2.0816681711721685e-17,1.734723475976807e-17,-1.734723475976807e-17]","[1,2,2,1,1,1,1,0,0,2,1,0]",,2.0816681711721685e-17,"[1,0,2,0,1,1,0,1,0,0,0,1]","[0.32,0.32,0.36,0.36,0.38,0.38,0.38,0.4,0.38,0.38,0.42,0.44,0.42]",223,127,False
0.32,True,0.76,8,False,16,"[0.0,0.0,0.0,1.734723475976807e-17,-3.8163916471489756e-17,3.469446951953614e-17,-3.8163916471489756e-17,-2.7755575615628914e-17,3.469446951953614e-17,-2.7755575615628914e-17,0.0,3.469446951953614e-17]","[0,1,3,2,2,3,1,5,3,5,1,3]",1,3.8163916471489756e-17,"[0,1,0,1,1,1,0,0,1,0,1,1]","[0.32,0.32,0.32,0.38,0.4,0.42,0.46,0.48,0.58,0.62,0.72,0.72,0.76]",223,127,True
0.32,True,0.42,,True,17,"[-2.7755575615628914e-17,0.0,3.469446951953614e-17,0.0,0.0,0.0,0.0,0.0,0.0,-1.734723475976807e-17,1.734723475976807e-17,-3.469446951953614e-17]","[6,3,4,1,0,0,1,0,2,0,3,0]",1,3.469446951953614e-17,"[1,0,2,1,3,0,1,0,2,1,2,2]","[0.32,0.42,0.48,0.52,0.52,0.46,0.46,0.46,0.46,0.46,0.44,0.46,0.42]",223,127,False
0.32,True,0.86,2,False,18,"[0.0,1.3877787807814457e-17,1.734723475976807e-17,-7.632783294297951e-17,3.469446951953614e-17,3.469446951953614e-17,-2.7755575615628914e-17,-3.469446951953614e-17,5.551115123125783e-17,0.0,-4.163336342344337e-17,0.0]","[7,4,2,3,2,2,5,1,4,2,4,1]",1,7.632783294297951e-17,"[1,0,1,1,0,0,0,3,1,2,0,1]","[0.32,0.44,0.52,0.54,0.58,0.62,0.66,0.76,0.72,0.78,0.78,0.86,0.86]",223,127,True
0.22,True,0.22,,False,2,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0,0,0,0,0,0,0,0,0,0,0,0]",,0.0,"[0,0,0,0,0,0,0,0,0,0,0,0]","[0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22]",227,127,False
