domain,focal_seed,peer_seed,schedule,family,focal_baseline_risk,peer_baseline_risk,active,cliff,self_rmse,peer_rmse,incorrect_rmse,focal_delta_rms,focal_delta_mae,peer_nrmse_rms,peer_rmse_over_mae
CIFAR-10-C,47,61,severity,impulse_noise,0.3347,0.3349,True,True,2.9925865470192585e-17,0.0121472630662219,0.09508847459077258,0.08465239512264258,0.08244,0.14349579889172898,0.14734671356406961
CIFAR-10-C,47,61,severity,defocus_blur,0.3347,0.3349,True,True,2.797157557069881e-17,0.0086893037695778,0.06295709650230066,0.05705523639421712,0.05007999999999999,0.15229634155820465,0.17350846185259186
CIFAR-10-C,47,61,severity,glass_blur,0.3347,0.3349,True,True,3.825842074281555e-17,0.0463729878269666,0.09973135916049677,0.08841374327557908,0.07290000000000002,0.5244997678972311,0.6361178028390478
CIFAR-10-C,47,61,severity,motion_blur,0.3347,0.3349,True,True,1.7826341206873998e-17,0.0097109216864312,0.06641155020024754,0.05917207111467368,0.053339999999999985,0.16411326329294318,0.18205702449252348
CIFAR-10-C,47,61,severity,zoom_blur,0.3347,0.3349,True,True,2.3273757686693185e-17,0.0068379821585026,0.057006227729959474,0.05121589596990372,0.04479999999999999,0.1335128875324341,0.1526335303237188
CIFAR-10-C,47,61,severity,snow,0.3347,0.3349,True,True,3.11864493316497e-17,0.0231858577585561,0.061077901077230885,0.05463982064392233,0.04718000000000002,0.4243399316709708,0.49143403472988745
CIFAR-10-C,47,61,severity,frost,0.3347,0.3349,True,True,2.342840229615247e-17,0.0151406076496288,0.06495521534103325,0.05819879723843098,0.051239999999999994,0.2601532740891569,0.2954841461676191
CIFAR-10-C,47,61,severity,fog,0.3347,0.3349,True,True,5.4548710012962536e-17,0.0092763139231054,0.09277742182233781,0.08222004621745235,0.07736000000000001,0.11282302005245497,0.11991098659650205
CIFAR-10-C,47,61,severity,brightness,0.3347,0.3349,True,False,1.6800866271542498e-17,0.0037301474501687,0.032664323045181874,0.029442316484950704,0.021740000000000002,0.12669340919812974,0.17157991951097976
CIFAR-10-C,47,61,severity,contrast,0.3347,0.3349,True,True,4.163336342344337e-17,0.0092128171587197,0.1260589544617914,0.11344745039003742,0.09907999999999999,0.08120779380273088,0.09298362089947217
CIFAR-10-C,47,61,severity,elastic_transform,0.3347,0.3349,True,False,2.7052788744732946e-17,0.009268764750494,0.04253071831041652,0.036956704398525574,0.028219999999999988,0.2508006301250116,0.3284466601875976
CIFAR-10-C,47,61,severity,pixelate,0.3347,0.3349,True,False,1.4304896245381992e-17,0.0255912485041273,0.03668468345236198,0.03256688502144472,0.027180000000000003,0.7858058419549772,0.9415470384152795
CIFAR-10-C,47,61,severity,jpeg_compression,0.3347,0.3349,True,False,2.3013707539344676e-17,0.005406662556513,0.011644569549794441,0.010327245518530093,0.008879999999999999,0.5235338451876514,0.6088583960037163
CIFAR-10-C,61,47,severity,gaussian_noise,0.3349,0.3347,True,True,3.6978510793634416e-17,0.036707710361721,0.11070128273872892,0.09939712269477423,0.07892000000000002,0.3693035509130577,0.46512557478105665
CIFAR-10-C,61,47,severity,shot_noise,0.3349,0.3347,True,True,5.985173094038517e-17,0.0343944763007085,0.09431926632454263,0.08439680088723743,0.07508000000000001,0.40753293891628617,0.45810437267858944
CIFAR-10-C,61,47,severity,impulse_noise,0.3349,0.3347,True,True,2.2377260456559048e-17,0.0121472630662219,0.09372868290976888,0.08290618794758327,0.081,0.1465181715254102,0.14996621069409752
CIFAR-10-C,61,47,severity,defocus_blur,0.3349,0.3347,True,True,3.254629732262919e-17,0.0086893037695778,0.06855510192538555,0.06205462110109127,0.055520000000000014,0.14002669930773282,0.15650763273735227
CIFAR-10-C,61,47,severity,glass_blur,0.3349,0.3347,True,True,4.322212449724815e-17,0.0463729878269667,0.1434410331808859,0.1270419143432592,0.10276000000000003,0.3650211669643912,0.4512746966423383
CIFAR-10-C,61,47,severity,motion_blur,0.3349,0.3347,True,True,3.838406449890678e-17,0.0097109216864312,0.06644892775658609,0.059052620602306885,0.05159999999999998,0.16444522846547208,0.188196156713783
CIFAR-10-C,61,47,severity,zoom_blur,0.3349,0.3347,True,True,3.57874756446653e-17,0.0068379821585026,0.06308732043762835,0.05597840655109791,0.04934000000000001,0.12215392648343411,0.13858901821042965
CIFAR-10-C,61,47,severity,snow,0.3349,0.3347,True,True,3.224906463711944e-17,0.0231858577585562,0.08302050349160744,0.07401225574187023,0.06578000000000002,0.31327051886407364,0.35247579444445415
CIFAR-10-C,61,47,severity,frost,0.3349,0.3347,True,True,3.5245209804025386e-17,0.0151406076496288,0.08101712164721726,0.07225818984724154,0.06434,0.2095348317143983,0.23532184721213556
CIFAR-10-C,61,47,severity,fog,0.3349,0.3347,True,True,3.7367087251761353e-17,0.0092763139231054,0.09248049524088851,0.08319861777697993,0.07610000000000001,0.111496010041552,0.12189637218272535
CIFAR-10-C,61,47,severity,brightness,0.3349,0.3347,True,False,1.986996825864056e-17,0.0037301474501686,0.030527495802964263,0.026867526867949725,0.02068000000000001,0.13883478998650572,0.18037463492111208
CIFAR-10-C,61,47,severity,contrast,0.3349,0.3347,True,True,2.9764538874609305e-17,0.0092128171587196,0.12474223021895994,0.1112942047008738,0.09872,0.08277894777613042,0.09332270217503646
CIFAR-10-C,61,47,severity,elastic_transform,0.3349,0.3347,True,False,1.642041997679149e-17,0.0092687647504939,0.05010648660602738,0.04382510695936749,0.03268000000000001,0.2114944011223395,0.28362193238965416
CIFAR-10-C,61,47,severity,pixelate,0.3349,0.3347,True,True,3.825842074281555e-17,0.0255912485041273,0.06387757039838007,0.05653888927101416,0.044500000000000005,0.4526309029782654,0.5750842360478045
CIFAR-10-C,61,47,severity,jpeg_compression,0.3349,0.3347,True,False,2.2377260456559048e-17,0.005406662556513,0.01618493126336964,0.014243595051811884,0.013800000000000002,0.3795855285723835,0.3917871417763043
