role,id,seed,schedule_id,family,event,alarm,timely,lead,baseline_risk,initial_headroom,endpoint_risk,endpoint_overshoot,endpoint_delta,last_pre_event_headroom,pre_event_slope,endpoint_overshoot_bin,endpoint_delta_bin,initial_headroom_bin,event_bin,last_pre_event_headroom_bin,pre_event_slope_bin
confirmation,confirmation|127|227|18,127,227,18,3,1.0,True,2.0,0.32,0.18,0.86,0.36,0.54,0.06,0.06,mid,high,high,low,mid,high
confirmation,confirmation|139|211|13,139,211,13,7,4.0,True,3.0,0.22,0.28,0.5,0.0,0.28,0.03999999999999998,0.09,low,mid,high,mid,mid,high
confirmation,confirmation|139|211|14,139,211,14,2,1.0,True,1.0,0.22,0.28,0.86,0.36,0.64,0.14,0.13999999999999999,mid,high,high,low,high,high
confirmation,confirmation|139|211|16,139,211,16,8,1.0,True,7.0,0.22,0.28,0.78,0.28,0.56,0.06,0.04000000000000001,mid,high,high,high,mid,mid
confirmation,confirmation|139|211|17,139,211,17,9,1.0,True,8.0,0.22,0.28,0.62,0.12,0.4,0.06,0.04000000000000001,low,mid,high,high,mid,mid
confirmation,confirmation|139|211|18,139,211,18,3,1.0,True,2.0,0.22,0.28,0.9,0.4,0.68,0.06,0.11,high,high,high,low,mid,high
confirmation,confirmation|139|223|13,139,223,13,7,5.0,True,2.0,0.22,0.28,0.5,0.0,0.28,0.03999999999999998,0.09,low,mid,high,mid,mid,high
confirmation,confirmation|139|223|14,139,223,14,2,1.0,True,1.0,0.22,0.28,0.86,0.36,0.64,0.14,0.13999999999999999,mid,high,high,low,high,high
confirmation,confirmation|139|223|16,139,223,16,8,1.0,True,7.0,0.22,0.28,0.78,0.28,0.56,0.08000000000000002,0.03999999999999998,mid,high,high,high,high,mid
confirmation,confirmation|139|223|17,139,223,17,9,1.0,True,8.0,0.22,0.28,0.62,0.12,0.4,0.020000000000000018,0.06,low,mid,high,high,low,high
confirmation,confirmation|139|223|18,139,223,18,3,2.0,True,1.0,0.22,0.28,0.9,0.4,0.68,0.03999999999999998,0.12000000000000001,high,high,high,low,mid,high
confirmation,confirmation|139|227|13,139,227,13,7,4.0,True,3.0,0.22,0.28,0.5,0.0,0.28,0.03999999999999998,0.07,low,mid,high,mid,mid,high
confirmation,confirmation|139|227|14,139,227,14,2,1.0,True,1.0,0.22,0.28,0.86,0.36,0.64,0.14,0.13999999999999999,mid,high,high,low,high,high
confirmation,confirmation|139|227|16,139,227,16,9,1.0,True,8.0,0.22,0.28,0.78,0.28,0.56,0.020000000000000018,0.03999999999999998,mid,high,high,high,low,mid
confirmation,confirmation|139|227|17,139,227,17,9,1.0,True,8.0,0.22,0.28,0.62,0.12,0.4,0.06,0.04000000000000001,low,mid,high,high,mid,mid
confirmation,confirmation|139|227|18,139,227,18,3,1.0,True,2.0,0.22,0.28,0.9,0.4,0.68,0.18,0.05,high,high,high,low,high,mid
confirmation,confirmation|151|211|13,151,211,13,7,4.0,True,3.0,0.28,0.21999999999999997,0.56,0.06000000000000005,0.28,0.03999999999999998,0.08000000000000002,low,mid,high,mid,mid,high
confirmation,confirmation|151|211|14,151,211,14,2,1.0,True,1.0,0.28,0.21999999999999997,0.9,0.4,0.62,0.12,0.09999999999999998,high,high,high,low,high,high
confirmation,confirmation|151|211|16,151,211,16,6,1.0,True,5.0,0.28,0.21999999999999997,0.78,0.28,0.5,0.020000000000000018,0.04999999999999999,mid,mid,high,mid,low,mid
confirmation,confirmation|151|211|17,151,211,17,10,1.0,True,9.0,0.28,0.21999999999999997,0.54,0.040000000000000036,0.26,0.06,0.04000000000000001,low,low,high,high,mid,mid
confirmation,confirmation|151|211|18,151,211,18,4,1.0,True,3.0,0.28,0.21999999999999997,0.92,0.42000000000000004,0.64,0.020000000000000018,0.09,high,high,high,mid,low,high
confirmation,confirmation|151|223|13,151,223,13,8,5.0,True,3.0,0.28,0.21999999999999997,0.56,0.06000000000000005,0.28,0.03999999999999998,0.04000000000000001,low,mid,high,high,mid,mid
confirmation,confirmation|151|223|14,151,223,14,2,1.0,True,1.0,0.28,0.21999999999999997,0.9,0.4,0.62,0.08000000000000002,0.13999999999999996,high,high,high,low,high,high
confirmation,confirmation|151|223|16,151,223,16,6,1.0,True,5.0,0.28,0.21999999999999997,0.78,0.28,0.5,0.020000000000000018,0.04999999999999999,mid,mid,high,mid,low,mid
confirmation,confirmation|151|223|17,151,223,17,12,1.0,True,11.0,0.28,0.21999999999999997,0.54,0.040000000000000036,0.26,0.020000000000000018,0.01999999999999999,low,low,high,high,low,low
confirmation,confirmation|151|223|18,151,223,18,4,1.0,True,3.0,0.28,0.21999999999999997,0.92,0.42000000000000004,0.64,0.020000000000000018,0.06,high,high,high,mid,low,high
confirmation,confirmation|151|227|13,151,227,13,7,4.0,True,3.0,0.28,0.21999999999999997,0.56,0.06000000000000005,0.28,0.03999999999999998,0.07,low,mid,high,mid,mid,high
confirmation,confirmation|151|227|14,151,227,14,2,1.0,True,1.0,0.28,0.21999999999999997,0.9,0.4,0.62,0.09999999999999998,0.12,high,high,high,low,high,high
confirmation,confirmation|151|227|16,151,227,16,6,1.0,True,5.0,0.28,0.21999999999999997,0.78,0.28,0.5,0.03999999999999998,0.04000000000000001,mid,mid,high,mid,mid,mid
confirmation,confirmation|151|227|17,151,227,17,11,1.0,True,10.0,0.28,0.21999999999999997,0.54,0.040000000000000036,0.26,0.03999999999999998,0.07,low,low,high,high,mid,high
confirmation,confirmation|151|227|18,151,227,18,4,1.0,True,3.0,0.28,0.21999999999999997,0.92,0.42000000000000004,0.64,0.020000000000000018,0.09999999999999998,high,high,high,mid,low,high
confirmation,confirmation|163|211|13,163,211,13,8,4.0,True,4.0,0.26,0.24,0.6,0.09999999999999998,0.33999999999999997,0.03999999999999998,0.010000000000000009,low,mid,high,high,mid,low
confirmation,confirmation|163|211|14,163,211,14,2,1.0,True,1.0,0.26,0.24,0.86,0.36,0.6,0.12,0.12,mid,high,high,low,high,high
confirmation,confirmation|163|211|16,163,211,16,6,1.0,True,5.0,0.26,0.24,0.82,0.31999999999999995,0.5599999999999999,0.03999999999999998,0.010000000000000009,mid,high,high,mid,mid,low
confirmation,confirmation|163|211|17,163,211,17,8,1.0,True,7.0,0.26,0.24,0.54,0.040000000000000036,0.28,0.03999999999999998,0.0,low,mid,high,high,mid,low
confirmation,confirmation|163|211|18,163,211,18,3,3.0,False,,0.26,0.24,0.86,0.36,0.6,0.06,0.09,mid,high,high,low,mid,high
confirmation,confirmation|163|223|13,163,223,13,8,4.0,True,4.0,0.26,0.24,0.6,0.09999999999999998,0.33999999999999997,0.06,0.010000000000000009,low,mid,high,high,mid,low
confirmation,confirmation|163|223|14,163,223,14,2,1.0,True,1.0,0.26,0.24,0.86,0.36,0.6,0.12,0.12,mid,high,high,low,high,high
confirmation,confirmation|163|223|16,163,223,16,5,1.0,True,4.0,0.26,0.24,0.82,0.31999999999999995,0.5599999999999999,0.020000000000000018,0.06999999999999998,mid,high,high,mid,low,high
confirmation,confirmation|163|223|17,163,223,17,8,1.0,True,7.0,0.26,0.24,0.54,0.040000000000000036,0.28,0.03999999999999998,0.020000000000000018,low,mid,high,high,mid,mid
confirmation,confirmation|163|223|18,163,223,18,2,1.0,True,1.0,0.26,0.24,0.86,0.36,0.6,0.12,0.12,mid,high,high,low,high,high
confirmation,confirmation|163|227|13,163,227,13,7,4.0,True,3.0,0.26,0.24,0.6,0.09999999999999998,0.33999999999999997,0.06,0.04999999999999999,low,mid,high,mid,mid,mid
confirmation,confirmation|163|227|14,163,227,14,2,1.0,True,1.0,0.26,0.24,0.86,0.36,0.6,0.08000000000000002,0.15999999999999998,mid,high,high,low,high,high
confirmation,confirmation|163|227|16,163,227,16,6,1.0,True,5.0,0.26,0.24,0.82,0.31999999999999995,0.5599999999999999,0.03999999999999998,0.010000000000000009,mid,high,high,mid,mid,low
confirmation,confirmation|163|227|17,163,227,17,9,1.0,True,8.0,0.26,0.24,0.54,0.040000000000000036,0.28,0.06,0.0,low,mid,high,high,mid,low
confirmation,confirmation|163|227|18,163,227,18,3,2.0,True,1.0,0.26,0.24,0.86,0.36,0.6,0.08000000000000002,0.07999999999999999,mid,high,high,low,high,high
