domain,focal_seed,peer_seed,schedule,family,focal_baseline_risk,peer_baseline_risk,active,cliff,self_rmse,peer_rmse
CURE-OR,163,151,223,12,0.26,0.28,True,False,0.0,0.014142135623730949
CURE-OR,163,151,223,13,0.26,0.28,True,True,0.0,0.03214550253664318
CURE-OR,163,151,223,14,0.26,0.28,True,True,0.0,0.022360679774997894
CURE-OR,163,151,223,15,0.26,0.28,True,False,0.0,0.020816659994661337
CURE-OR,163,151,223,16,0.26,0.28,True,True,0.0,0.03415650255319866
CURE-OR,163,151,223,17,0.26,0.28,True,True,0.0,0.042031734043061646
CURE-OR,163,151,223,18,0.26,0.28,True,True,0.0,0.03366501646120693
CURE-OR,163,139,227,2,0.18,0.16,False,False,0.0,0.008164965809277261
CURE-OR,163,139,227,6,0.18,0.16,True,False,0.0,0.024494897427831782
CURE-OR,163,151,227,11,0.26,0.28,False,False,0.0,0.0
CURE-OR,163,151,227,12,0.26,0.28,True,False,0.0,0.02160246899469287
CURE-OR,163,151,227,13,0.26,0.28,True,True,0.0,0.03785938897200182
CURE-OR,163,151,227,14,0.26,0.28,True,True,0.0,0.02380476142847615
CURE-OR,163,151,227,15,0.26,0.28,True,False,0.0,0.019148542155126767
CURE-OR,163,151,227,16,0.26,0.28,True,True,0.0,0.03415650255319865
CURE-OR,163,151,227,17,0.26,0.28,True,True,0.0,0.04203173404306163
CURE-OR,163,151,227,18,0.26,0.28,True,True,0.0,0.029439202887759478
CIFAR-10-C,31,47,severity,gaussian_noise,0.3238,0.3347,True,True,2.237726045655905e-17,0.01638529828840477
CIFAR-10-C,31,47,severity,shot_noise,0.3238,0.3347,True,True,1.8619006149354548e-17,0.013670479143029341
CIFAR-10-C,31,47,severity,impulse_noise,0.3238,0.3347,True,True,4.654751537338637e-17,0.013083806785488676
CIFAR-10-C,31,47,severity,defocus_blur,0.3238,0.3347,True,True,3.273069708340169e-17,0.0067458135165449
CIFAR-10-C,31,47,severity,glass_blur,0.3238,0.3347,True,True,3.937478387536527e-17,0.034803936558958415
CIFAR-10-C,31,47,severity,motion_blur,0.3238,0.3347,True,True,3.61888430622384e-17,0.004892443152454618
CIFAR-10-C,31,47,severity,zoom_blur,0.3238,0.3347,True,True,3.413484460715e-17,0.006229767250869019
CIFAR-10-C,31,47,severity,snow,0.3238,0.3347,True,True,2.0584085788909643e-17,0.014024478599933778
CIFAR-10-C,31,47,severity,frost,0.3238,0.3347,True,True,3.0562657329293366e-17,0.008803862788571839
CIFAR-10-C,31,47,severity,fog,0.3238,0.3347,True,True,3.7367087251761353e-17,0.005567405140637783
CIFAR-10-C,31,47,severity,brightness,0.3238,0.3347,True,False,3.025588499270114e-17,0.002527844931952902
CIFAR-10-C,31,47,severity,contrast,0.3238,0.3347,True,True,5.559781974809367e-17,0.00850541004302556
CIFAR-10-C,31,47,severity,elastic_transform,0.3238,0.3347,True,False,1.642041997679149e-17,0.013523535040809402
CIFAR-10-C,31,47,severity,pixelate,0.3238,0.3347,True,True,3.825842074281555e-17,0.02653639010867909
CIFAR-10-C,31,47,severity,jpeg_compression,0.3238,0.3347,True,False,7.601177430610146e-18,0.005848247600777521
CIFAR-10-C,47,61,severity,gaussian_noise,0.3347,0.3349,True,True,2.1046707277126847e-17,0.03670771036172102
CIFAR-10-C,47,61,severity,shot_noise,0.3347,0.3349,True,True,3.356589068483857e-17,0.03439447630070853
CIFAR-10-C,47,61,severity,impulse_noise,0.3347,0.3349,True,True,2.9925865470192585e-17,0.012147263066221978
CIFAR-10-C,47,61,severity,defocus_blur,0.3347,0.3349,True,True,2.797157557069881e-17,0.008689303769577852
CIFAR-10-C,47,61,severity,glass_blur,0.3347,0.3349,True,True,3.825842074281555e-17,0.04637298782696668
CIFAR-10-C,47,61,severity,motion_blur,0.3347,0.3349,True,True,1.7826341206873998e-17,0.009710921686431203
CIFAR-10-C,47,61,severity,zoom_blur,0.3347,0.3349,True,True,2.3273757686693185e-17,0.006837982158502615
CIFAR-10-C,47,61,severity,snow,0.3347,0.3349,True,True,3.11864493316497e-17,0.02318585775855617
CIFAR-10-C,47,61,severity,frost,0.3347,0.3349,True,True,2.342840229615247e-17,0.015140607649628858
CIFAR-10-C,47,61,severity,fog,0.3347,0.3349,True,True,5.4548710012962536e-17,0.009276313923105408
CIFAR-10-C,47,61,severity,brightness,0.3347,0.3349,True,False,1.6800866271542495e-17,0.0037301474501687014
CIFAR-10-C,47,61,severity,contrast,0.3347,0.3349,True,True,4.163336342344337e-17,0.00921281715871971
CIFAR-10-C,47,61,severity,elastic_transform,0.3347,0.3349,True,False,2.7052788744732946e-17,0.00926876475049402
CIFAR-10-C,47,61,severity,pixelate,0.3347,0.3349,True,False,1.4304896245381992e-17,0.02559124850412735
